Tx28_x,Tx28_y,Tx34_x,Tx34_y,Tx40_x,Tx40_y,Tx46_x,Tx46_y,Tx54_x,Tx54_y,Tx62_x,Tx62_y,Tx70_x,Tx70_y,U-40_x,U-40_y,U-54_x,U-54_y,IV_x,IV_y,A_x,A_y,B_x,B_y,C_x,C_y,Type_54_x,Type_54_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.291666667,0,-0.291666667,0,-0.291666667,0,-0.291666667,0,-0.291666667,0,-0.291666667,0,-0.291666667,0,-0.489583333,0,-0.489583333,0,-0.666666667,0,-0.333333333,0,-0.458333333,0,-0.5,0,-0.333333333
1.208333333,-0.625,1.208333333,-0.625,1.208333333,-0.625,1.208333333,-0.625,1.208333333,-0.625,1.458333333,-0.625,1.458333333,-0.625,0.895833333,-0.5625,0.895833333,-0.5625,0.5,-1.166666667,0.25,-0.583333333,0.229166667,-0.6875,0.291666667,-0.791666667,0.416666667,-0.75
1.208333333,-1.125,1.208333333,-1.625,1.208333333,-2.125,1.208333333,-2.458333333,1.208333333,-3.125,1.458333333,-3.791666667,1.458333333,-4.458333333,1.458333333,-3.333333333,1.708333333,-4.5,0.5,-3.083333333,0.25,-1.5,0.229166667,-1.854166667,0.291666667,-2.125,0.416666667,-3.416666667
0.166666667,-1.770833333,0.166666667,-2.270833333,0.166666667,-2.770833333,0.166666667,-3.104166667,0.166666667,-3.770833333,0.416666667,-4.4375,0.416666667,-5.104166667,6.041666667,-3.333333333,6.291666667,-4.5,-0.25,-3.833333333,-0.166666667,-1.916666667,-0.25,-2.333333333,-0.333333333,-2.75,0,-3.833333333
0.166666667,-2.333333333,0.166666667,-2.833333333,0.166666667,-3.333333333,0.166666667,-3.833333333,0.166666667,-4.5,0.416666667,-5.166666667,0.416666667,-5.833333333,6.604166667,-0.5625,7.104166667,-0.5625,-0.25,-4.5,-0.166666667,-2.333333333,-0.25,-2.833333333,-0.333333333,-3.333333333,0,-4.5
2.833333333,-2.333333333,2.833333333,-2.833333333,2.833333333,-3.333333333,2.833333333,-3.833333333,2.833333333,-4.5,3.083333333,-5.166666667,3.083333333,-5.833333333,7.5,-0.489583333,8,-0.489583333,1.916666667,-4.5,1.166666667,-2.333333333,1.25,-2.833333333,1.5,-3.333333333,1.333333333,-4.5
2.833333333,-1.770833333,2.833333333,-2.270833333,2.833333333,-2.770833333,2.833333333,-3.104166667,2.833333333,-3.770833333,3.083333333,-4.4375,3.083333333,-5.104166667,7.5,0,8,0,1.916666667,-3.833333333,1.166666667,-1.916666667,1.25,-2.333333333,1.5,-2.75,1.333333333,-3.833333333
1.791666667,-1.125,1.791666667,-1.625,1.791666667,-2.125,1.791666667,-2.458333333,1.791666667,-3.125,2.041666667,-3.791666667,2.041666667,-4.458333333,6.1875,0,6.6875,0,1.166666667,-3.083333333,0.75,-1.5,0.770833333,-1.854166667,0.875,-2.125,0.916666667,-3.416666667
1.791666667,-0.625,1.791666667,-0.625,1.791666667,-0.625,1.791666667,-0.625,1.791666667,-0.625,2.041666667,-0.625,2.041666667,-0.625,5.625,-2.645833333,5.875,-3.8125,1.166666667,-1.166666667,0.75,-0.583333333,0.770833333,-0.6875,0.875,-0.791666667,0.916666667,-0.75
3,-0.291666667,3,-0.291666667,3,-0.291666667,3,-0.291666667,3,-0.291666667,3.5,-0.291666667,3.5,-0.291666667,1.875,-2.645833333,2.125,-3.8125,1.666666667,-0.666666667,1,-0.333333333,1,-0.458333333,1.166666667,-0.5,1.333333333,-0.333333333
3,0,3,0,3,0,3,0,3,0,3.5,0,3.5,0,1.3125,0,1.3125,0,1.666666667,0,1,0,1,0,1.166666667,0,1.333333333,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
