type,width_ft,height_in,weight_plf
None,0,0,0
SSCB,2,42,717
T1F,1,33,157
T1W,1,32,173
T1P,1,36,192
T2P,1,42,192
T221,1,32,370
T222,1,36,413
T223,1,32,358
T224,1.5,42,577
T401,1,33,263
T402,1,42,343
T411,1,32,270
T551,1,32,382
T552,1,32,370
T631,1,31,20
T631LS,1,31,13
T66,1.5,32,355
T77,1,33,166
SSTR,1,36,376
T80HT,1,50,447
T80SS,1,42,533
C1W,1,42,205
C2P,1,42,203
C221,1,42,380
C223,1,42,370
C402,1,42,347
C411,1,42,350
C412,1.5,42,560
C66,1.5,42,366
PR1/PR11,1,42,30
PR2,1,42,125
PR22,1,42,146
PR3,1,48,158
T101,1,27,39
T203,1,27,250
T501,1,32,376
T502,1,32,313
T503,1,32,326
T504,1,32,326
T6,1,27.125,23
HT,1,50,456
C203,1,42,262
C501,1,42,336
C502,1,42,323
B3,1,60,180
SSR,1,36,452
